,element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
33,Cl,1,787.822,787.8217,3000,11000000.0,D,71958.363,84648.100,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,2D*,5/2,,T1277,L298
34,Cl,1,792.4645,792.4645,3000,8400000.0,D,72827.038,85442.430,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,2P*,3/2,,T1277,L298
35,Cl,1,822.045,,3000,,,,,,,,,,,,,L298
36,Cl,1,808.667,808.6673,3000,240000000.0,D,84120.263,96482.889,3s2.3p4.(1D).4s,2D,5/2,3s2.3p4.(1D).4p,2D*,5/2,,"T1277,T1619CA,LS",L298
37,Cl,1,894.806,894.8062,3000,48000000.0,D,71958.363,83130.900,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4P*,3/2,,"T1619CA,LS",L298
38,Cl,1,799.785,799.7857,2900,8400000.0,D,72488.568,84988.480,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,2D*,3/2,,T1277,L298
39,Cl,1,819.442,819.4422,2500,10000000.0,E,72488.568,84688.637,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4D*,1/2,,T1277LS,L298
40,Cl,1,789.931,789.931,2300,31000000.0,D,83130.9,95786.752,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P<2>).4d,2[2],5/2,,T8043,L298
41,Cl,1,767.242,,2300,,,,,,,,,,,,,L298
42,Cl,1,846.734,,2200,,,,,,,,,,,,,L298
43,Cl,1,820.021,,2200,,,,,,,,,,,,,L298
44,Cl,1,855.044,855.0441,2200,3800000.0,D,74225.846,85917.937,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).4p,2S*,1/2,,T1277,L298
45,Cl,1,891.292,,2200,,,,,,,,,,,,,L298
46,Cl,1,776.916,776.9163,2200,36000000.0,D,82918.893,95786.752,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P<2>).4d,2[2],5/2,,T8043,L298
47,Cl,1,801.561,,2200,,,,,,,,,,,,,L298
48,Cl,1,782.136,782.1361,2200,78000000.0,D,82918.893,95700.874,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P<2>).4d,2[3],7/2,,T8043,L298
49,Cl,1,808.556,808.5561,2200,150000000.0,D,84121.872,96486.198,3s2.3p4.(1D).4s,2D,3/2,3s2.3p4.(1D).4p,2D*,3/2,,"T1277,T1619CA,LS",L298
50,Cl,1,819.913,,2200,,,,,,,,,,,,,L298
51,Cl,1,793.389,,2100,,,,,,,,,,,,,L298
